"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USR0000HPUW","PUU WAAWAA HAWAII, HI US","19.795","-155.8453","709.0","2015-10-10",,,,,,,,,,,,,,,"74",",,U","83","H,,U","65","H,,U",,,,,,,,,,,,,,
"US1HIHI0038","KALAOA 2.2 ESE, HI US","19.7189","-155.9859","398.4","2015-10-10",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,
"US1HIHI0006","KALAOA 1.7 E, HI US","19.7238","-155.9926","304.5","2015-10-10",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,
"USC00514765","KONA VILLAGE 93.8, HI US","19.8187","-155.9891","21.3","2015-10-10",,,,,,,,,"0.00",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00511880","HONOKOHAU HARBOR 68.14, HI US","19.6787","-156.0214","9.1","2015-10-10",,,,,,,,,"0.00",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USW00021510","KAILUA KONA KE AHOLE AIRPORT, HI US","19.73556","-156.04889","13.1","2015-10-10","8.28",",,W",,,,,,,"0.00",",,W","0.0",",,W",,,,,"89",",,W","79",",,W","  170",",,W","  180",",,W","17.0",",,W","21.9",",,W",,,,,,
